"Name","Description","Image","Parent"
Dresses,"Lorem ipsum dolor sit amet, consectetur adipisici elit, sed eiusmod tempor incidunt ut labore et dolore magna aliqua.","cat-dres.jpg"
Shoes,"Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui.","cat-shoes.jpg"
Jewelry,"Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.","cat-jevelry.jpg"
"Casual Dresses","Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat.","cat-jackets.jpg",Dresses
"Designer","Lorem ipsum dolor sit amet.","cat-womens.jpg",Dresses
"Evening","At vero eos et accusam et justo duo dolores et ea rebum.","cat-lingerie.jpg",Designer
"Party","Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquid ex ea commodi consequat.","cat-BagsandPurses.jpg",Designer
"Flat Shoes","Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua.","cat-toys.jpg",Shoes
"Flat Sandals","Lorem ipsum dolor sit amet, consetetur sadipscing elitr, At accusam aliquyam diam diam dolore dolores duo eirmod eos erat, et nonumy sed tempor et et invidunt justo labore Stet.","cat-swimsuit.jpg",Shoes
Boots,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat.","cat-dres.jpg",Shoes
Heels,"Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.","cat-jevelry.jpg",Shoes
Bracelets,"Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua.","cat-womens.jpg",Jewelry
"Necklaces & Pendants","Lorem ipsum dolor sit amet, consetetur sadipscing elitr, At accusam aliquyam diam diam dolore dolores duo eirmod eos erat, et nonumy sed tempor et et invidunt justo labore.","cat-swimsuit.jpg",Jewelry
"Pins & Brooches","At vero eos et accusam et justo duo dolores et ea rebum.","cat-tops.jpg",Jewelry
